sample,peak_no,age_ma,ci_low,ci_high,support
1A,1,700.0758883,674.962823,725.1889536,1
1B,1,694.1997512,669.0866859,719.3128166,1
1C,1,671.8954978,651.5679647,711.8393215,1
2A,1,384.0695302,358.9564649,409.1825955,1
2A,2,1782.144367,1757.031302,1807.257433,1
2B,1,376.7263905,328.0890456,428.5413069,1
2B,2,1771.458786,1747.514452,1800.012993,1
2C,1,420.6669067,395.5538414,445.7799721,1
2C,2,1790.646737,1734.751264,1846.964811,1
3A,1,402.2757868,377.1627214,427.3888521,1
3B,1,399.9433812,374.8303159,425.0564465,1
3C,1,398.6257082,373.5126429,423.7387735,1
4A,1,496.5249577,471.4118923,521.638023,1
4A,2,1848.538061,1797.307407,1884.041657,1
4B,1,563.5326633,553.4874372,623.8040201,1
4B,2,1794.490254,1755.285223,1825.604466,1
4C,1,593.6936169,563.5579385,653.9649736,1
4C,2,1738.11348,1687.761707,1778.171882,1
5A,1,1485.68101,1460.567945,1510.794076,1
5B,1,1483.817076,1458.704011,1508.930142,1
5C,1,1296.867973,1256.687069,1347.094104,1
6A,1,535.3327306,510.2196653,560.4457959,1
6A,2,1458.344654,1427.935165,1498.251748,1
6B,1,551.3889502,521.2532719,586.672807,1
6B,2,1427.905275,1367.924701,1478.924449,1
6C,1,586.4207746,546.2398701,614.9208841,1
6C,2,1391.537901,1263.80729,1435.078395,1
7A,1,1460.542101,1420.361196,1490.677779,1
7B,1,1452.070978,1428.763389,1499.079972,1
7C,1,1497.130553,1416.768744,1527.266232,1