Sample,Final_U238Pb206,Final_U238Pb206__2SE,Final_Pb207Pb206,Final_Pb207Pb206__2SE,238,207,,
2,154.716168,6.648503166,0.087420244,0.008440477,4.29722585,9.655059988,3.324251583,0.004220239
2,70.2344186,2.878512304,0.199454333,0.017835886,4.098435441,8.942340701,1.439256152,0.008917943
2,175.0606012,6.847679836,0.087119156,0.007787922,3.911605346,8.939391011,3.423839918,0.003893961
2,57.66654476,1.667808554,0.145499531,0.012892754,2.892159676,8.861027875,0.833904277,0.006446377
2,6.882521357,0.184507015,0.110168683,0.009181532,2.680805557,8.334067132,0.092253508,0.004590766
2,150.1061015,7.642067498,0.066961363,0.005118107,5.091110502,7.643373388,3.821033749,0.002559054
2,129.3234261,11.94548349,0.07257758,0.005151306,9.236906143,7.097654675,5.972741745,0.002575653
2,104.6978117,1.69949589,0.07827272,0.005197703,1.62323917,6.640503869,0.849747945,0.002598852
2,165.6513363,4.578851653,0.068992101,0.004431064,2.764150145,6.422567128,2.289425827,0.002215532
2,161.1259173,3.169958752,0.072990461,0.004640705,1.967379802,6.35796094,1.584979376,0.002320353
2,57.4301851,3.046393219,0.076319358,0.004520137,5.304515759,5.922661194,1.52319661,0.002260069
2,10.3310877,1.009189511,0.086910752,0.004736187,9.768472985,5.449483396,0.504594756,0.002368094
2,57.2700586,3.719170654,0.101973623,0.005451298,6.494092629,5.345792215,1.859585327,0.002725649
2,24.58420427,1.460874616,0.091392377,0.004790749,5.942330286,5.241956887,0.730437308,0.002395375
2,10.9285098,0.547997658,0.08602176,0.004236138,5.014385932,4.924495848,0.273998829,0.002118069
2,7.702346094,0.536985979,0.093845291,0.004501411,6.971719687,4.796629593,0.26849299,0.002250706
2,5.094586977,0.290982668,0.089153113,0.004076298,5.711604676,4.572244157,0.145491334,0.002038149
2,6.08148328,0.326520974,0.077897278,0.003497291,5.369100908,4.489619008,0.163260487,0.001748646
2,13.61785391,0.727565217,0.078683602,0.003530877,5.342730373,4.487436912,0.363782609,0.001765439
2,83.96942877,5.411299787,0.085822889,0.003768779,6.44436894,4.391344831,2.705649894,0.00188439
2,13.01963294,0.989644138,0.077136983,0.003354015,7.601167733,4.348128316,0.494822069,0.001677008
2,6.482313902,0.538750474,0.075156248,0.003254325,8.311082773,4.330079117,0.269375237,0.001627163
2,28.43451193,2.587231356,0.0978593,0.004153461,9.098912485,4.24431914,1.293615678,0.002076731
2,68.73473329,3.133644191,0.091776907,0.003895021,4.5590403,4.244009879,1.566822096,0.001947511
2,152.0547337,6.982126976,0.066719333,0.002814137,4.591851109,4.217873401,3.491063488,0.001407069
2,49.45891719,3.701595855,0.095374714,0.004000282,7.484182965,4.194279419,1.850797928,0.002000141
2,132.1577599,3.081823852,0.074679753,0.003081412,2.331928034,4.126167905,1.540911926,0.001540706
2,5.763474816,0.20125484,0.080514422,0.003272453,3.491901091,4.064430842,0.10062742,0.001636227
2,94.27220168,8.715308011,0.083250487,0.00332199,9.244833425,3.990355035,4.357654006,0.001660995
2,29.21691208,1.833077572,0.074551008,0.002973551,6.27402912,3.988612736,0.916538786,0.001486776
2,17.41848561,0.928995127,0.076204008,0.002977453,5.33338631,3.907213122,0.464497564,0.001488727
2,3.676048747,0.161804301,0.102227469,0.003823135,4.401582028,3.739831415,0.080902151,0.001911568
2,7.58452918,0.279385027,0.092047803,0.003393797,3.683617274,3.686994029,0.139692514,0.001696899
2,5.073400274,0.21767078,0.092572575,0.003378756,4.290431826,3.64984554,0.10883539,0.001689378
2,144.9752388,3.548015302,0.066295408,0.002359335,2.447325027,3.558821148,1.774007651,0.001179668
2,10.33553699,0.437404786,0.079617232,0.002820972,4.232047028,3.54316764,0.218702393,0.001410486
2,21.94276167,2.068747409,0.078082954,0.002717207,9.427926348,3.479897802,1.034373705,0.001358604
2,16.66768945,0.914768918,0.093167441,0.00310661,5.488276709,3.334437403,0.457384459,0.001553305
2,14.48234738,0.801884498,0.087909056,0.002910865,5.536978757,3.311223135,0.400942249,0.001455433
2,43.94977527,3.7935051,0.094310097,0.003076444,8.631455057,3.26205157,1.89675255,0.001538222
2,6.404985616,0.19193143,0.081289628,0.002635003,2.996594239,3.241499641,0.095965715,0.001317502
2,6.243886703,0.183696956,0.076759762,0.002483466,2.942028976,3.235374805,0.091848478,0.001241733
2,153.6910688,4.134697756,0.060598877,0.001952103,2.690265471,3.221351775,2.067348878,0.000976052
2,11.78595918,0.5933105,0.077368162,0.002489046,5.034045095,3.217145058,0.29665525,0.001244523
2,131.502198,6.17383561,0.067429494,0.002164827,4.694853549,3.21050459,3.086917805,0.001082414
2,5.436126133,0.305451342,0.091578119,0.002936883,5.618915649,3.206970215,0.152725671,0.001468442
2,9.99734151,0.616693722,0.094162991,0.002998464,6.16857713,3.184333854,0.308346861,0.001499232
2,10.47613393,0.463637952,0.076130039,0.00242247,4.425658884,3.182015971,0.231818976,0.001211235
2,3.84343984,0.090432963,0.090269782,0.002871291,2.352917354,3.180788672,0.045216482,0.001435646
2,7.084971024,0.119172099,0.072169759,0.00228639,1.682040739,3.168072101,0.05958605,0.001143195
2,5.574234442,0.143408554,0.077392383,0.00242379,2.572704028,3.131819833,0.071704277,0.001211895
2,140.0665424,7.033973801,0.068493706,0.002109977,5.021880087,3.080541444,3.516986901,0.001054989
2,49.20668018,0.829308164,0.093559504,0.002879355,1.685356868,3.077565482,0.414654082,0.001439678
2,10.82110999,0.608536514,0.090350947,0.002728027,5.623605292,3.019367356,0.304268257,0.001364014
2,6.899862397,0.266386562,0.105201368,0.003102961,3.860751804,2.949544344,0.133193281,0.001551481
2,6.879071071,0.146684796,0.076067674,0.002237007,2.132334359,2.940811625,0.073342398,0.001118504
2,4.828674536,0.135162485,0.089323816,0.00262037,2.79916329,2.933562534,0.067581243,0.001310185
2,14.50347671,0.415404486,0.094384705,0.002736461,2.864171773,2.89926318,0.207702243,0.001368231
2,6.867559739,0.334209886,0.098027088,0.002779862,4.866501329,2.835810037,0.167104943,0.001389931
2,7.596668372,0.394698064,0.106749935,0.003017011,5.195673217,2.826241534,0.197349032,0.001508506
2,41.02629636,3.873870324,0.100871595,0.002817941,9.442408084,2.79359219,1.936935162,0.001408971
2,9.421648584,0.451294578,0.089047161,0.002485453,4.789974642,2.791164785,0.225647289,0.001242727
2,16.5820007,1.078286265,0.092244383,0.002558337,6.502751293,2.773433912,0.539143133,0.001279169
2,4.534591151,0.14492337,0.092437438,0.002559552,3.195952296,2.768956015,0.072461685,0.001279776
2,59.68320951,1.894432849,0.08097861,0.002230017,3.174147075,2.753834624,0.947216425,0.001115009
2,6.353136018,0.223996968,0.090307738,0.002480167,3.525770066,2.746350484,0.111998484,0.001240084
2,20.60899171,0.768242045,0.085684607,0.002345535,3.727703207,2.737405331,0.384121023,0.001172768
2,3.681751972,0.176777956,0.102985118,0.002810001,4.801462927,2.728550546,0.088388978,0.001405001
2,46.83137027,2.292052034,0.088878874,0.002402787,4.89426643,2.703439965,1.146026017,0.001201394
2,14.96693928,0.926097772,0.081120731,0.002172596,6.187622965,2.678225373,0.463048886,0.001086298
2,5.043024326,0.167810898,0.083900614,0.002237423,3.327584544,2.666754024,0.083905449,0.001118712
2,29.83958192,2.315722889,0.107741067,0.002868339,7.760574177,2.662252268,1.157861445,0.00143417
2,7.262655211,0.4524262,0.087938623,0.002322321,6.22948752,2.640843034,0.2262131,0.001161161
2,5.31099663,0.141603567,0.089993882,0.002363158,2.666233418,2.625909615,0.070801784,0.001181579
2,12.62190781,0.801123374,0.078223663,0.002052969,6.347086241,2.624485892,0.400561687,0.001026485
2,11.80818497,0.508962384,0.097135645,0.002542009,4.310250773,2.616968261,0.254481192,0.001271005
2,48.1871405,2.019954127,0.093751549,0.002446394,4.191894572,2.609443818,1.009977064,0.001223197
2,20.58530328,1.042934113,0.079513495,0.00206566,5.066401494,2.59787348,0.521467057,0.00103283
2,5.873871106,0.181059627,0.07445711,0.001932032,3.082458293,2.594825397,0.090529814,0.000966016
2,11.12699488,0.410796532,0.08806481,0.002256476,3.691891085,2.562290204,0.205398266,0.001128238
2,8.708376223,0.399954713,0.078820909,0.002013576,4.592758773,2.554621642,0.199977357,0.001006788
2,4.467669843,0.241819612,0.10055786,0.002531573,5.412656273,2.517528714,0.120909806,0.001265787
2,17.85504582,0.33187526,0.091109931,0.002252242,1.858719733,2.472004945,0.16593763,0.001126121
2,11.54854684,0.87181397,0.087020806,0.002117111,7.549122691,2.432879098,0.435906985,0.001058556
2,6.042705049,0.237947329,0.089748953,0.002178603,3.937761765,2.427441131,0.118973665,0.001089302
2,25.39975184,2.142615851,0.097934053,0.002366515,8.435577893,2.416437314,1.071307926,0.001183258
2,13.29050427,0.393411924,0.090354545,0.00217926,2.960097796,2.411898593,0.196705962,0.00108963
2,9.050175125,0.636730472,0.086470754,0.002082032,7.035559679,2.407787493,0.318365236,0.001041016
2,4.6642259,0.149170382,0.10240184,0.002465009,3.198180903,2.407192097,0.074585191,0.001232505
2,5.018206482,0.237848358,0.085591898,0.002050687,4.739708477,2.395889153,0.118924179,0.001025344
2,5.703051798,0.181619398,0.075942999,0.001805971,3.184600183,2.378061209,0.090809699,0.000902986
2,5.365527156,0.12297456,0.075560523,0.001796493,2.291938078,2.37755501,0.06148728,0.000898247
2,9.136866115,0.280919205,0.092480247,0.002181785,3.074568473,2.359190282,0.140459603,0.001090893
2,115.3366334,3.70891474,0.071375986,0.001670558,3.215730016,2.34050427,1.85445737,0.000835279
2,32.22150569,1.453576576,0.0843973,0.001969111,4.511200035,2.333144544,0.726788288,0.000984556
2,26.41784456,1.182975408,0.097761498,0.002193054,4.477940679,2.243269636,0.591487704,0.001096527
2,25.51553322,1.155341301,0.087194916,0.001955717,4.527991992,2.242925494,0.577670651,0.000977859
2,7.385191917,0.243960209,0.089273634,0.002001098,3.303369929,2.241533038,0.121980105,0.001000549
2,5.520561013,0.103356846,0.074554411,0.001660119,1.872216352,2.226721367,0.051678423,0.00083006
2,3.505700511,0.068664744,0.100550066,0.002235943,1.958659725,2.223711121,0.034332372,0.001117972
2,3.428565354,0.077357024,0.102285413,0.002273379,2.256250531,2.222583781,0.038678512,0.00113669
2,4.930755994,0.094744829,0.090093235,0.001998785,1.921507151,2.218573903,0.047372415,0.000999393
2,3.414037479,0.114419337,0.102830332,0.002269422,3.351437637,2.206957768,0.057209669,0.001134711
2,6.312485214,0.211552303,0.078324887,0.00172522,3.351331462,2.202646012,0.105776152,0.00086261
2,12.92269873,0.395472113,0.088698022,0.001952823,3.060290434,2.201653381,0.197736057,0.000976412
2,5.828960858,0.116918414,0.075875822,0.001651336,2.005819165,2.176366537,0.058459207,0.000825668
2,5.455731007,0.096605262,0.073197878,0.001591799,1.770711604,2.174651839,0.048302631,0.0007959
2,30.20599381,1.391588424,0.099316663,0.002143621,4.606994336,2.15836994,0.695794212,0.001071811
2,6.195818516,0.16066791,0.100881577,0.002175348,2.59316682,2.156338218,0.080333955,0.001087674
2,17.96313001,0.746089877,0.096377723,0.002077931,4.153451412,2.156028318,0.373044939,0.001038966
2,8.167917107,0.713502477,0.103350667,0.002194205,8.735427498,2.123068059,0.356751239,0.001097103
2,3.943035367,0.087731781,0.103058284,0.002162454,2.224980829,2.09828256,0.043865891,0.001081227
2,4.644622007,0.194453671,0.090303463,0.001886466,4.186641468,2.08902952,0.097226836,0.000943233
2,5.051919219,0.197686268,0.086470445,0.001804301,3.91309242,2.086610055,0.098843134,0.000902151
2,3.487029936,0.102459715,0.104802909,0.002185974,2.938309016,2.085795157,0.051229858,0.001092987
2,5.321388682,0.236330895,0.089677008,0.001868505,4.441150781,2.08359427,0.118165448,0.000934253
2,4.212299655,0.072611264,0.090200252,0.001876556,1.723791514,2.080433212,0.036305632,0.000938278
2,5.260863515,0.155816964,0.086609324,0.001798778,2.961813466,2.076887241,0.077908482,0.000899389
2,4.456351351,0.087737268,0.103854475,0.002150104,1.968813971,2.070304626,0.043868634,0.001075052
2,5.465901257,0.115428491,0.07645614,0.001573973,2.111792467,2.058661345,0.057714246,0.000786987
2,10.85623942,0.693458417,0.106675975,0.002187406,6.387648523,2.050514186,0.346729209,0.001093703
2,6.47413146,0.295589741,0.085991746,0.001758383,4.565704957,2.044827651,0.147794871,0.000879192
2,7.504033373,0.240261019,0.09503471,0.001940316,3.201758402,2.041691925,0.12013051,0.000970158
2,5.279843897,0.106550643,0.089660985,0.001829059,2.018064266,2.039972012,0.053275322,0.00091453
2,4.018504904,0.091215113,0.089711634,0.001820336,2.269876862,2.029096917,0.045607557,0.000910168
2,4.80087971,0.098477701,0.088140521,0.00177856,2.051242834,2.017868717,0.049238851,0.00088928
2,47.16340461,3.096079425,0.096241884,0.001939657,6.564579997,2.015397994,1.548039713,0.000969829
2,12.54690222,0.758828072,0.088460035,0.001770854,6.047931662,2.00186898,0.379414036,0.000885427
2,65.12882113,3.195608805,0.089872041,0.001783163,4.906597033,1.984113168,1.597804403,0.000891582
2,11.65242651,0.63282614,0.07836114,0.00155281,5.430852874,1.98160721,0.31641307,0.000776405
2,6.442355876,0.300407597,0.100833637,0.001988587,4.663008421,1.972146457,0.150203799,0.000994294
2,6.337383525,0.304961226,0.087736509,0.001715534,4.812099896,1.95532512,0.152480613,0.000857767
2,33.22495731,2.510733835,0.093947276,0.001823579,7.556770688,1.941066391,1.255366918,0.00091179
2,9.403207012,0.530244728,0.085802871,0.001658524,5.638977503,1.932946976,0.265122364,0.000829262
2,13.02424237,0.69138927,0.101791308,0.001967423,5.308479759,1.932800588,0.345694635,0.000983712
2,12.57000705,0.661791106,0.073880128,0.001425565,5.264842759,1.929564876,0.330895553,0.000712783
2,6.713937684,0.48260467,0.087503482,0.001686798,7.188101718,1.927692432,0.241302335,0.000843399
2,3.698625399,0.108840983,0.101629224,0.001956585,2.942741458,1.925218872,0.054420492,0.000978293
2,3.673604366,0.194630375,0.103027984,0.001961767,5.298076647,1.904110829,0.097315188,0.000980884
2,5.513477381,0.106583561,0.075516172,0.001434617,1.933145883,1.899748043,0.053291781,0.000717309
2,6.190645123,0.210969341,0.074669258,0.001417835,3.40787328,1.898820261,0.105484671,0.000708918
2,16.28400451,0.954297378,0.089871045,0.001705232,5.860335997,1.89742091,0.477148689,0.000852616
2,8.033542393,0.534649326,0.086770949,0.001645279,6.655212605,1.896117328,0.267324663,0.00082264
2,5.637988349,0.273189585,0.102816002,0.001939346,4.845515246,1.886229733,0.136594793,0.000969673
2,16.08739489,0.47654145,0.075903599,0.001428441,2.962203969,1.881914717,0.238270725,0.000714221
2,37.03853847,1.337348684,0.091773162,0.001722966,3.610695074,1.87741815,0.668674342,0.000861483
2,3.953372383,0.136490504,0.100541062,0.001885154,3.452508157,1.875009039,0.068245252,0.000942577
2,7.306828169,0.544779583,0.102085428,0.001912816,7.455760152,1.873740491,0.272389792,0.000956408
2,52.28778949,2.144616675,0.092899893,0.001740342,4.101563091,1.873351996,1.072308338,0.000870171
2,4.72340428,0.1692125,0.104962204,0.001959328,3.582426783,1.866698607,0.08460625,0.000979664
2,8.308414186,0.430731354,0.089667143,0.001671709,5.184278785,1.864349576,0.215365677,0.000835855
2,5.679055132,0.072042557,0.075221602,0.001399262,1.268565903,1.860186386,0.036021279,0.000699631
2,5.061908769,0.103704455,0.090856818,0.001687059,2.048722325,1.856832582,0.051852228,0.00084353
2,16.56135059,0.614835031,0.088439068,0.001639579,3.712469147,1.853908049,0.307417516,0.00081979
2,8.570559954,0.455706596,0.074383795,0.001378728,5.317115783,1.853532749,0.227853298,0.000689364
2,4.950653471,0.150914391,0.102351814,0.001894297,3.048373147,1.850770324,0.075457196,0.000947149
2,4.330429228,0.124686895,0.089004125,0.001636632,2.879319542,1.838827133,0.062343448,0.000818316
2,9.839246147,0.337747494,0.075013441,0.001373133,3.432656211,1.830515947,0.168873747,0.000686567
2,3.300178442,0.101620917,0.101336136,0.001850194,3.079255222,1.825798844,0.050810459,0.000925097
2,4.887796787,0.175335971,0.090262627,0.001644349,3.587218918,1.82173847,0.087667986,0.000822175
2,4.035681835,0.163130761,0.102492882,0.001864916,4.042210652,1.819556601,0.081565381,0.000932458
2,3.699352109,0.079212205,0.103239013,0.001871468,2.14124535,1.812752704,0.039606103,0.000935734
2,5.288622841,0.172316636,0.08879074,0.001607836,3.258251556,1.810814957,0.086158318,0.000803918
2,4.132091081,0.096515144,0.100977057,0.001827194,2.335745803,1.809514017,0.048257572,0.000913597
2,4.340264426,0.155619117,0.089498289,0.001617943,3.585475485,1.807792102,0.077809559,0.000808972
2,7.743513232,0.092695667,0.074673996,0.001346761,1.197075077,1.803520733,0.046347834,0.000673381
2,4.559318166,0.093164668,0.086524328,0.001550362,2.043390363,1.791822064,0.046582334,0.000775181
2,14.47509749,1.310780872,0.104246485,0.001854828,9.055419992,1.779271503,0.655390436,0.000927414
2,6.543133129,0.196500837,0.088019522,0.00155241,3.003161225,1.763711009,0.098250419,0.000776205
2,12.28402872,1.002013595,0.074129688,0.001296476,8.157043734,1.748929525,0.501006798,0.000648238
2,4.043486835,0.156880787,0.102163183,0.001784037,3.879839193,1.746262154,0.078440394,0.000892019
2,4.185602727,0.113129326,0.090638947,0.001582154,2.702820439,1.745556466,0.056564663,0.000791077
2,5.625730649,0.102660448,0.07535368,0.001310928,1.824837597,1.739700039,0.051330224,0.000655464
2,7.872855203,0.283474174,0.090523513,0.001570624,3.600652707,1.735045347,0.141737087,0.000785312
2,19.6054317,0.624828598,0.076241106,0.001321062,3.1870178,1.732742439,0.312414299,0.000660531
2,3.902664034,0.103542824,0.102906017,0.001781176,2.653131889,1.730876437,0.051771412,0.000890588
2,5.720612295,0.17391466,0.075095981,0.001299163,3.040140653,1.730003367,0.08695733,0.000649582
2,4.842881342,0.128763098,0.088844874,0.001536285,2.658811747,1.729176857,0.064381549,0.000768143
2,4.130013122,0.093167052,0.088788464,0.001528358,2.255853656,1.721347494,0.046583526,0.000764179
2,5.3945834,0.257721976,0.101399259,0.001744267,4.777421293,1.720196989,0.128860988,0.000872134
2,5.454294623,0.097986369,0.07582752,0.001300675,1.796499378,1.715307319,0.048993185,0.000650338
