sample_id,geochronid,analysis_type,analysis_document,analysis_doc_link,dlat,dlong,recommended_reference,local_pdf_path,download_status,download_error,download_size_bytes
112101,112101.1,U-Pb zircon,112101.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112101.1.pdf,-22.617007,122.29167,"Nelson, DR 1996, 112101: biotite-epidote monzogranite gneiss, Larry Creek; Geochronology Record 522: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/112101.1.pdf,DOWNLOADED,,208696
112112,112112.1,U-Pb zircon,112112.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112112.1.pdf,-29.736197,122.09312,"Nelson, DR 1995, 112112: K-feldspar volcanic rock, Jump Up Dam; Geochronology Record 510: Geological Survey of Western Australia, 6p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/112112.1.pdf,DOWNLOADED,,277876
112159,112159.1,U-Pb zircon,112159.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112159.1.pdf,-28.426027,121.143819,"Nelson, DR 1995, 112159: porphyritic dacite, Royal Arthur; Geochronology Record 488: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/112159.1.pdf,DOWNLOADED,,282588
112170,112170.1,U-Pb zircon,112170.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/112170.1.pdf,-33.933426,120.033329,"Nelson, DR 1996, 112170: metasandstone, Barrens Beach; Geochronology Record 492: Geological Survey of Western Australia, 3p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/112170.1.pdf,DOWNLOADED,,188563
118990,118990.1,U-Pb zircon,118990.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/118990.1.pdf,-26.312867,118.96829,"Nelson, DR 1997, 118990: silicified laminated shale, Referendum Bore; Geochronology Record 435: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/118990.1.pdf,DOWNLOADED,,233062
133384,133384.1,U-Pb zircon,133384.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/133384.1.pdf,-25.558226,117.73509,"Fielding, IOH, Wingate, MTD, Fletcher, IR, Rasmussen, B, Zi, J-W and Sheppard, S 2022, 133384: leucogabbro, Thompsons Bore; Geochronology Record 1860: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/133384.1.pdf,DOWNLOADED,,1377890
142832,142832.1,U-Pb zircon,142832.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/142832.1.pdf,-21.110326,116.89107,"Nelson, DR 2000, 142832: metamorphosed intermediate rock, Whundo; Geochronology Record 391: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/142832.1.pdf,DOWNLOADED,,145121
142933,142933.1,U-Pb zircon,142933.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/142933.1.pdf,-25.406296,116.217421,"Nelson, DR 1999, 142933: bio-hypersthene-clinopyroxene-andesine mafic granulite, Meerawana Bore; Geochronology Record 320: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/142933.1.pdf,DOWNLOADED,,259558
142984,142984.1,U-Pb zircon,142984.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/142984.1.pdf,-21.185066,120.03055,"Nelson, DR 2000, 142984: pegmatite-banded, even-grained orthogneiss, Talga Well; Geochronology Record 287: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/142984.1.pdf,DOWNLOADED,,165642
165365,165365.1,U-Pb zircon,165365.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/165365.1.pdf,-28.048526,119.49961,"Nelson, DR 2004, 165365: foliated biotite granodiorite, Coomb Bore; Geochronology Record 218: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/165365.1.pdf,DOWNLOADED,,601593
168973,168973.1,U-Pb zircon,168973.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/168973.1.pdf,-29.566687,118.714861,"Nelson, DR 2001, 168973: biotite monzogranite, Kim Bore; Geochronology Record 177: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/168973.1.pdf,DOWNLOADED,,177607
168983,168983.1,U-Pb zircon,168983.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/168983.1.pdf,-25.033926,121.606489,"Nelson, DR 2002, 168983: metasandstone, Weld Spring; Geochronology Record 155: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/168983.1.pdf,DOWNLOADED,,159317
171773,171773.1,U-Pb zircon,171773.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/171773.1.pdf,-25.228206,121.136189,"Nelson, DR 2005, 171773: quartz sandstone, Ingebong Hills; Geochronology Record 543: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/171773.1.pdf,DOWNLOADED,,562520
177915,177915.1,U-Pb zircon,177915.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/177915.1.pdf,-31.047356,122.2152,"Wingate, MTD and Bodorkos, S 2007, 177915: metasandstone, Randalls Mine; Geochronology Record 664: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/177915.1.pdf,DOWNLOADED,,293909
177916,177916.1,U-Pb zircon,177916.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/177916.1.pdf,-31.031076,122.56081,"Wingate, MTD and Bodorkos, S 2007, 177916: metasiltstone, Karonie Mine; Geochronology Record 665: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/177916.1.pdf,DOWNLOADED,,364331
178010,178010.1,U-Pb zircon,178010.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178010.1.pdf,-21.688956,120.62126,"Nelson, DR 2005, 178010: lithic-quartz sandstone, Mount Olive; Geochronology Record 549: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178010.1.pdf,DOWNLOADED,,561068
178026,178026.1,U-Pb zircon,178026.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178026.1.pdf,-23.860057,115.67001,"Nelson, DR 2005, 178026: muscovite-biotite syenogranite, Russell Well; Geochronology Record 535: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178026.1.pdf,DOWNLOADED,,557534
178037,178037.1,U-Pb zircon,178037.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178037.1.pdf,-21.230046,119.88465,"Nelson, DR 2005, 178037: biotite granodiorite, Nelson Well; Geochronology Record 561: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178037.1.pdf,DOWNLOADED,,580094
178052,178052.1,U-Pb zircon,178052.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178052.1.pdf,-28.520656,119.01653,"Nelson, DR 2005, 178052: biotite microgranodiorite, Yuinmery Homestead; Geochronology Record 581: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178052.1.pdf,DOWNLOADED,,501498
178054,178054.1,U-Pb zircon,178054.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178054.1.pdf,-28.105106,119.135711,"Nelson, DR 2005, 178054: foliated biotite granodiorite, Bell Chamber Well; Geochronology Record 582: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178054.1.pdf,DOWNLOADED,,565478
178057,178057.1,U-Pb zircon,178057.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178057.1.pdf,-27.898917,119.54957,"Nelson, DR 2005, 178057: biotite monzogranite, Kurrajong Well; Geochronology Record 584: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178057.1.pdf,DOWNLOADED,,576229
178058,178058.1,U-Pb zircon,178058.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178058.1.pdf,-27.784196,119.87342,"Nelson, DR 2005, 178058: biotite monzogranite, No. 1 Bore; Geochronology Record 585: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178058.1.pdf,DOWNLOADED,,538281
178059,178059.1,U-Pb zircon,178059.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178059.1.pdf,-27.601786,119.92951,"Nelson, DR 2005, 178059: biotite monzogranite, Michel Bore; Geochronology Record 586: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178059.1.pdf,DOWNLOADED,,433145
178060,178060.1,U-Pb zircon,178060.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178060.1.pdf,-27.877006,119.35066,"Nelson, DR 2005, 178060: biotite monzogranite, Sandstone; Geochronology Record 587: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178060.1.pdf,DOWNLOADED,,535772
178062,178062.1,U-Pb zircon,178062.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178062.1.pdf,-27.742516,119.33721,"Nelson, DR 2005, 178062: foliated biotite monzogranite, Wizard Bore; Geochronology Record 589: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178062.1.pdf,DOWNLOADED,,600065
178064,178064.1,U-Pb zircon,178064.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178064.1.pdf,-28.845066,119.99953,"Nelson, DR 2005, 178064: coarse sandstone, The Stock Well; Geochronology Record 591: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178064.1.pdf,DOWNLOADED,,583331
178065,178065.1,U-Pb zircon,178065.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178065.1.pdf,-28.453956,119.81041,"Nelson, DR 2005, 178065: recrystallized sandstone, Minga Bore; Geochronology Record 592: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178065.1.pdf,DOWNLOADED,,559436
178066,178066.1,U-Pb zircon,178066.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178066.1.pdf,-28.453766,119.81092,"Nelson, DR 2005, 178066: recrystallized sandstone, Minga Bore; Geochronology Record 593: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178066.1.pdf,DOWNLOADED,,483839
178067,178067.1,U-Pb zircon,178067.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/178067.1.pdf,-28.347286,119.7507,"Nelson, DR 2005, 178067: recrystallized sandstone, Four Corners Bore; Geochronology Record 594: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/178067.1.pdf,DOWNLOADED,,553793
181127,181127.1,U-Pb zircon,181127.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/181127.1.pdf,-23.713926,122.484639,"Wingate, MTD and Bodorkos, S 2007, 181127: quartz sandstone, Durba Hills; Geochronology Record 682: Geological Survey of Western Australia, 7p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/181127.1.pdf,DOWNLOADED,,267520
185997,185997.1,U-Pb zircon,185997.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/185997.1.pdf,-29.054006,118.13863,"Wingate, MTD, Kirkland, CL and Ivanic, TJ 2015, 185997: granitic gneiss, Tandys Bore; Geochronology Record 1229: Geological Survey of Western Australia, 3p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/185997.1.pdf,DOWNLOADED,,543133
194754,194754.1,U-Pb zircon,194754.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/194754.1.pdf,-29.173017,117.66264,"Wingate, MTD, Fielding, IOH, Lu, Y and Ivanic, T 2021, 194754: metamonzogranite, Deep Well; Geochronology Record 1821: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/194754.1.pdf,DOWNLOADED,,1810805
195830,195830.1,U-Pb zircon,195830.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/195830.1.pdf,-25.612256,117.732081,"Fielding, IOH, Wingate, MTD, Fletcher, IR, Rasmussen, B, Zi, J-W and Johnson, SP 2022, 195830: metamonzogranite, Mount Seabrook; Geochronology Record 1862: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/195830.1.pdf,DOWNLOADED,,2198705
195833,195833.1,U-Pb zircon,195833.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/195833.1.pdf,-25.505426,121.780639,"Fielding, IOH, Wingate, MTD, Fletcher, IR, Rasmussen, B, Zi, J-W and Johnson, SP 2022, 195833: sandstone, Sydney Heads Pass; Geochronology Record 1863: Geological Survey of Western Australia, 7p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/195833.1.pdf,DOWNLOADED,,1023610
201514,201514.1,U-Pb zircon,201514.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/201514.1.pdf,-29.169072,117.653233,"Wingate, MTD, Fielding, IOH, Lu, Y and Smithies, RH 2021, 201514: metagranodiorite, Deep Well; Geochronology Record 1801: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/201514.1.pdf,DOWNLOADED,,1636542
201536,201536.1,U-Pb zircon,201536.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/201536.1.pdf,-29.132177,118.30277,"Wingate, MTD, Fielding, IOH, Lu, Y and Smithies, RH 2021, 201536: metamonzogranite, Frogmore Bore; Geochronology Record 1822: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/201536.1.pdf,DOWNLOADED,,1905325
203733,203733.1,U-Pb zircon,203733.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203733.1.pdf,-28.077791,120.54344,"Wingate, MTD, Lu, Y, Fielding, IOH, Smithies, RH and Cassidy, KF 2021, 203733: porphyritic granitic rock, Lawlers mine; Geochronology Record 1851: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203733.1.pdf,DOWNLOADED,,2883110
203735,203735.1,U-Pb zircon,203735.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203735.1.pdf,-31.308103,121.761185,"Wingate, MTD, Fielding, IOH, Lu, Y, Cassidy, KF and Smithies, RH 2022, 203735: porphyritic metagranodiorite, Lake Lefroy; Geochronology Record 1880: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203735.1.pdf,DOWNLOADED,,2917060
203736,203736.1,U-Pb zircon,203736.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203736.1.pdf,-31.333105,121.780387,"Wingate, MTD, Lu, Y, Fielding, IOH, Cassidy, KF and Smithies, RH 2022, 203736: porphyritic metagranitic rock, Victory deposit; Geochronology Record 1852: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203736.1.pdf,DOWNLOADED,,2472071
203738,203738.1,U-Pb zircon,203738.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203738.1.pdf,-28.949279,122.351144,"Wingate, MTD, Fielding, IOH, Lu, Y, Cassidy, KF and Smithies, RH 2022, 203738: porphyritic metasyenite, Lake Carey; Geochronology Record 1881: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203738.1.pdf,DOWNLOADED,,2828224
203739,203739.1,U-Pb zircon,203739.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203739.1.pdf,-28.956083,122.345253,"Wingate, MTD, Fielding, IOH, Lu, Y, Cassidy, KF and Smithies, RH 2022, 203739: felsic metavolcanic rock, Lake Carey; Geochronology Record 1882: Geological Survey of Western Australia, 5p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203739.1.pdf,DOWNLOADED,,2776773
203740,203740.1,U-Pb zircon,203740.1.pdf,https://dasc.dmirs.wa.gov.au/download/Metadata?fileName=Geochron/pdfs/203740.1.pdf,-28.858098,122.305339,"Wingate, MTD, Fielding, IOH, Lu, Y, Cassidy, KF and Smithies, RH 2022, 203740: porphyritic metasyenite, Wallaby mine; Geochronology Record 1883: Geological Survey of Western Australia, 4p.",/Users/lucymathieson/Peak-Picking-v2/LeadLoss/reports/gswa_missing_pdfs/203740.1.pdf,DOWNLOADED,,2417361
