sample_id,priority_for_spot_retrieval,documents_flag_in_legacy_csv,available_flag_in_legacy_csv,has_igsn_link,igsn_links,mount_ids,doc_types,recommended_refs
9996 7055,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000IT,99-34,"SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9996 7082C,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000I7; http://hdl.handle.net/10273/XXAB000IH,99-24; 99-28,"SHRIMP Logsheet; SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9996 9049,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000IP,99-33,"SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9996 9066,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000IU,99-34,"SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9996 9093B,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000I6; http://hdl.handle.net/10273/XXAB000IG,99-24; 99-28,"SHRIMP Logsheet; SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9996 9096,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000IV,99-34,"SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9996 9142,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000M9,A-14,"SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9996 9164A,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000M8,A-14,"SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
9996-4003,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KO; http://hdl.handle.net/10273/XXAB001Z5,99-71; 99-73,"SHRIMP Logsheet, Notebook Sketch","Fletcher, McNaughton 2002, Granitoid geochronology: SHRIMP zircon and titanite data, in Characterisation and metallogenic significance of Archaean granitoids of the Yilgarn Craton, Western Australia: MERIWA Report 222."
A1 PGM,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001MS,08-15,"SHRIMP Logsheet, Notebook Sketch",
A12F,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001MU,08-18,"SHRIMP Logsheet, Notebook Sketch",
A195-1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB00033,95-13,,"Bickle et al., 1983 - Contributions to Mineralogy  and Petrology - https://doi.org/10.1007/BF01132327"
A1PGM,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB001MQ,08-14,"SHRIMP Logsheet, Notebook Sketch",
A224-1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB00034,95-13,,"Bickle et al., 1983 - Contributions to Mineralogy  and Petrology - https://doi.org/10.1007/BF01132327"
AFA 901,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KX,99-81,"SHRIMP Logsheet, Notebook Sketch","Pickard 2003, Genetic stratigraphic analysis and composition of the Dales Gorge Member, Brockman Iron Formation in Western Australia…: UWA PhD Thesis"
AGC 834,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KU,99-81,"SHRIMP Logsheet, Notebook Sketch","Pickard, 2002 - Australian Journal of Earth Sciences - DOI: 10.1046/j.1440-0952.2002.00933.x"
AGC 845,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KW,99-81,"SHRIMP Logsheet, Notebook Sketch","Pickard, 2002 - Australian Journal of Earth Sciences - DOI: 10.1046/j.1440-0952.2002.00933.x"
AGC 847,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000L9,99-85,SHRIMP Logsheet,"Pickard, 2002 - Australian Journal of Earth Sciences - DOI: 10.1046/j.1440-0952.2002.00933.x"
AGC 849,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000L8,99-85,SHRIMP Logsheet,"Pickard, 2002 - Australian Journal of Earth Sciences - DOI: 10.1046/j.1440-0952.2002.00933.x"
AGC848,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000L0,99-82,"SHRIMP Logsheet, Notebook Sketch","Pickard, 2002 - Australian Journal of Earth Sciences - DOI: 10.1046/j.1440-0952.2002.00933.x"
AMY,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB000PG,01-41,,"Evans et al., 2003 - Australian Journal of Earth Sciences - https://doi.org/10.1111/j.1400-0952.2003.01031.x"
ANORT,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001RM; http://hdl.handle.net/10273/XXAB001RN; http://hdl.handle.net/10273/XXAB002DR,04-140; 17-08,,In prep 2019; in prep
ANORT.,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB001WY,96-46,SHRIMP Logsheet,
B 137,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001TX,18-15,,"V Barrote, 2019 Curtin PhD Thesis"
B38A-1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001US,19-09,,"V Barrote, 2019 Curtin PhD Thesis"
B38A-2,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UT,19-09,,"V Barrote, 2019 Curtin PhD Thesis"
B38A-3,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UU,19-09,,"V Barrote, 2019 Curtin PhD Thesis"
B38A-4,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UV,19-09,,"V Barrote, 2019 Curtin PhD Thesis"
B38A-5,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UW,19-09,,"V Barrote, 2019 Curtin PhD Thesis"
B38B-6,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UX,19-09,,"V Barrote, 2019 Curtin PhD Thesis"
B38B-7,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UY,19-09,,"V Barrote, 2019 Curtin PhD Thesis"
B38B-8,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UZ,19-09,,"V Barrote, 2019 Curtin PhD Thesis"
B38C-10,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001V2,19-10,,"V Barrote, 2019 Curtin PhD Thesis"
B38C-11,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001V3,19-10,,"V Barrote, 2019 Curtin PhD Thesis"
B38C-12,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001V4,19-10,,"V Barrote, 2019 Curtin PhD Thesis"
B38C-13,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001V5,19-10,,"V Barrote, 2019 Curtin PhD Thesis"
B38C-9,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001V1,19-10,,"V Barrote, 2019 Curtin PhD Thesis"
B38D-14,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001V6,19-10,,"V Barrote, 2019 Curtin PhD Thesis"
B38D-15,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001V7,19-10,,"V Barrote, 2019 Curtin PhD Thesis"
B38D-16,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001V8,19-10,,"V Barrote, 2019 Curtin PhD Thesis"
B38D-17,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001V9,19-10,,"V Barrote, 2019 Curtin PhD Thesis"
B38D-18,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001VA,19-10,,"V Barrote, 2019 Curtin PhD Thesis"
B41A-21,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UD,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41A-22,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001U2,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41A-23,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001U3,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41A-24,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001U4,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41A-25,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001U5,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41B-26,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001U6,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41B-27,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001U7,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41B-28,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001U8,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41B-29,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001U9,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41B-30,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UC,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41B-31,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UA,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41B-32,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UB,19-07,,"V Barrote, 2019 Curtin PhD Thesis"
B41B-33,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UF,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
B41C-34,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UG,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
B41C-35,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UH,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
B41C-36,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UI,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
B41C-37,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UJ,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
B41C-38,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UK,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
B41C-39,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UL,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
B41C-40,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UM,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
B41D-41,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UN,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
B41D-42,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UO,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
B41D-43,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UP,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
B41D-44,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001UQ,19-08,,"V Barrote, 2019 Curtin PhD Thesis"
BF-1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000AG,97-20,,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
BM01,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0000X,94-16,,"J Knight, 1994 - The geology and genesis of Archaean amphibolite-facies lode-gold deposits in the Coolgardie Goldfield, Western Australia, with special emphasis on the role of granitoids - UWA PhD thesis"
BODD-1,HIGH,Y,N,N,,98-20,"SHRIMP Logsheet, Notebook Sketch",
BODD-2,HIGH,Y,N,N,,98-18,"SHRIMP Logsheet, Notebook Sketch",
BODD-3,HIGH,Y,N,N,,98-20,"SHRIMP Logsheet, Notebook Sketch",
BODD-4,HIGH,Y,N,N,,98-20,"SHRIMP Logsheet, Notebook Sketch",
BODD-5,HIGH,Y,N,N,,98-20,"SHRIMP Logsheet, Notebook Sketch",
BODD-7,LOW,N,N,N,,98-54,,
BODD-8,MEDIUM,Y,Y,N,,98-61,Notebook Sketch,
BOOB,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0006I,96-21,SHRIMP Logsheet,"Barley and Pickard, 1999 - Precambrian Research - https://doi.org/10.1016/S0301-9268(99)00003-0"
BOOLALOO GR.,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000D2,98-09,,"Krapez and McNaughton, 1999 - Australian Journal of Earth Sciences - https://doi.org/10.1046/j.1440-0952.1999.00698.x"
BP-1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000G9; http://hdl.handle.net/10273/XXAB001XR,98-33; 98-85,,"Rasmussen et al., 2002 - Science - 10.1126/science.1070166"
BP-1 II,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB001XV,98-36,,
"BP-1 MAG III, DIODH",LOW,N,N,Y,http://hdl.handle.net/10273/XXAB0021K,A-72,,
"BP-1 NONMAG, DIODH",LOW,N,N,Y,http://hdl.handle.net/10273/XXAB0021I,A-71,,
BR-2,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000SQ,B-45,,"Rasmussen et al., 2004 - Precambrian Research - doi:10.1016/j.precamres.2004.05.008"
BR-3,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000SO,B-44,,"Rasmussen et al., 2004 - Precambrian Research - doi:10.1016/j.precamres.2004.05.008"
BR02-7,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000VW,C-109,,"Rasmussen and Fletcher, 2004 - GEOLOGY - doi: 10.1130/G20658.1"
BR03-20,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB00292,03-34,,"Rasmussen and Fletcher, 2004 - GEOLOGY - doi: 10.1130/G20658.1"
BR03-3,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB0027S,03-09,,"Rasmussen and Fletcher, 2004 - GEOLOGY - doi: 10.1130/G20658.1"
BR03-31,LOW,N,N,N,,03-100,,"Rasmussen and Fletcher, 2004 - GEOLOGY - doi: 10.1130/G20658.1"
BR05-15,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB001IB; http://hdl.handle.net/10273/XXAB001IC; http://hdl.handle.net/10273/XXAB001ID; http://hdl.handle.net/10273/XXAB001IE; http://hdl.handle.net/10273/XXAB001IF,05-39,,"Doyle et al., 2015 - Economic Geology - https://doi.org/10.2113/econgeo.110.2.355"
BR05-27,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB001J9,05-69,,"Rasmussen et al., 2009 - Contributions to Mineralogy and Petrology - https://doi.org/10.1007/s00410-008-0352-7"
BWRCD 2145,MEDIUM,Y,Y,Y,http://hdl.handle.net/10273/XXAB000UZ,B-92,SHRIMP Log information,"Vielreicher et al., 2006 - AMIRA Project P680: Chronology of deformation, metamorphism and gold mineralisation in the Eastern Goldfields Province, Western Australia: An improved framework of exploration"
BWRCD 2726B,MEDIUM,Y,Y,N,,B-92,SHRIMP Log information,
BWRCD 618 378.7,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000V7,C-100,SHRIMP Logsheet,"Vielreicher et al., 2006 - AMIRA Project P680: Chronology of deformation, metamorphism and gold mineralisation in the Eastern Goldfields Province, Western Australia: An improved framework of exploration"
CALOOLI,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0000Y,94-16,,"Knight 1994, Geology and genesis of Archaean amphibolite-facies lode-gold deposits in the Coolgardie Goldfield, Western Australia, with special emphasis on the role of granitoids: UWA PhD; Knight et al. 2000, Econ Geol: doi.org/10.2113/gsecongeo.95.1.49"
CARB,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0006B,96-19,SHRIMP Logsheet,"Barley and Pickard, 1999 - Precambrian Research - https://doi.org/10.1016/S0301-9268(99)00003-0"
CD319 716 SMB,LOW,N,N,Y,http://hdl.handle.net/10273/XXAB001YM,99-47,,"T - Brown, 2002 - Structural and temporal evolution of a complex ore system: Cleo gold deposit, Eastern Goldfields Province, Western Australia -  UWA PhD Thesis,  P - Brown et al., 2002 - Economic Geology - https://doi.org/10.2113/gsecongeo.97.3.541"
CHD-319,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0008S; http://hdl.handle.net/10273/XXAB0009S; http://hdl.handle.net/10273/XXAB0009T,96-73; 97-07,SHRIMP Logsheet,"Mueller and McNaughton, 2000 - Economic Geology - https://doi.org/10.2113/gsecongeo.95.6.1231; Mueller and McNaughton, 2000 - Economic Geology - https://doi.org/10.2113/gsecongeo.95.6.1232"
CHD383,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0008Z,96-75,SHRIMP Logsheet,"Mueller and McNaughton, 2000 - Economic Geology - https://doi.org/10.2113/gsecongeo.95.6.1232"
CSB1,HIGH,Y,N,Y,http://hdl.handle.net/10273/XXAB001WK,96-18,SHRIMP Logsheet,"Martin et al., 1998 - Economic Geology - https://doi.org/10.2113/gsecongeo.93.7.1084"
CU HILLS,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0006H,96-21,SHRIMP Logsheet,"Barley and Pickard, 1999 - Precambrian Research - https://doi.org/10.1016/S0301-9268(99)00003-0"
D2158538,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB0004G,95-35,,"A Dugdale, 2000 - Evolution of a hydrothermal vein system: Bronzewing Gold Deposit, Yandal Greenstone Belt, WA - UWA PhD Thesis"
DI-1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001RA,17-02,,"J Porter, 2019 Curtin PhD Thesis"
DL1,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001QH,16-43,,"J Porter, 2019 Curtin PhD Thesis"
DL2,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001QJ,16-44,,"J Porter, 2019 Curtin PhD Thesis"
DL3,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001QL,16-45,,"J Porter, 2019 Curtin PhD Thesis"
DL4,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB001QN,16-46,,"J Porter, 2019 Curtin PhD Thesis"
DUF SPIN,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB00006,94-07,"SHRIMP Logsheet, Notebook Sketch","Barley et al., 1998 - Precambrian Research - https://doi.org/10.1016/S0301-9268(97)00061-2"
DYKE 2 240/4,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000FL,98-71,"SHRIMP Logsheet, Notebook Sketch","Bucci et al., 2004 - Economic Geology - 0361-0128/01/3450/1123-22"
E178,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB0009Z,97-11,SHRIMP Logsheet,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7; Krapez and Pickard, 2010 - Precambrian Research - https://doi.org/10.1016/j.precamres.2010.01.014"
E179,LOW,N,Y,Y,http://hdl.handle.net/10273/XXAB000AA,97-17,,"Krapez et al., 2000 - Tectonophysics - https://doi.org/10.1016/S0040-1951(00)00059-7"
E203,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000D7,98-100,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E214,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000HA,99-11,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E225,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000K1,99-58,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E227,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000K3,99-58,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E229,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000H9,99-11,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E233,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000H8,99-11,"SHRIMP Logsheet, Notebook Sketch","Krapez and Pickard, 2010 - Precambrian Research - https://doi.org/10.1016/j.precamres.2010.01.014;  Barley et al., 2002 - AMIRA Project P437A, Final Report"
E265,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000JU,99-53,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E313,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KI,99-68,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018; Krapez and Pickard, 2010 - Precambrian Research - https://doi.org/10.1016/j.precamres.2010.01.014"
E314,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000K0,99-58,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E319,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KG,99-68,SHRIMP Logsheet,"Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E320,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KS,99-72,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
E321,HIGH,Y,Y,Y,http://hdl.handle.net/10273/XXAB000KQ,99-72,"SHRIMP Logsheet, Notebook Sketch","Kositcin et al., 2008 - Precambrian Research - https://doi.org/10.1016/j.precamres.2007.06.018"
